thr,acc,balacc,prec,rec,f1_macro
0.31999999999999995,0.9805555555555555,0.9815463267735836,0.9657738095238095,0.9923547400611621,0.9804329216093921
0.32999999999999996,0.9805555555555555,0.9815463267735836,0.9657738095238095,0.9923547400611621,0.9804329216093921
0.33999999999999997,0.9805555555555555,0.9815463267735836,0.9657738095238095,0.9923547400611621,0.9804329216093921
0.3499999999999999,0.9805555555555555,0.9812895394168593,0.968562874251497,0.9892966360856269,0.9804241055389294
0.35999999999999993,0.9805555555555555,0.9812895394168593,0.968562874251497,0.9892966360856269,0.9804241055389294
0.5499999999999999,0.9805555555555555,0.980262389989962,0.9800613496932515,0.9770642201834863,0.980385708809502
0.5599999999999999,0.9805555555555555,0.980262389989962,0.9800613496932515,0.9770642201834863,0.980385708809502
0.6,0.9805555555555555,0.9797488152765133,0.9860248447204969,0.9709480122324159,0.9803646181327297
0.6599999999999999,0.9805555555555555,0.9793636342414268,0.9905956112852664,0.9663608562691132,0.9803479657805054
0.6699999999999999,0.9805555555555555,0.9793636342414268,0.9905956112852664,0.9663608562691132,0.9803479657805054
0.30999999999999994,0.9798611111111111,0.9809101944580619,0.9643387815750372,0.9923547400611621,0.9797363296650721
0.4499999999999999,0.9798611111111111,0.9800114387095268,0.9742033383915023,0.981651376146789,0.9797032376154997
0.4599999999999999,0.9798611111111111,0.9800114387095268,0.9742033383915023,0.981651376146789,0.9797032376154997
0.4699999999999999,0.9798611111111111,0.9800114387095268,0.9742033383915023,0.981651376146789,0.9797032376154997
0.57,0.9798611111111111,0.9794978639960781,0.9800307219662059,0.9755351681957186,0.9796825396825397
0.59,0.9798611111111111,0.9791126829609917,0.9844961240310077,0.9709480122324159,0.9796661568598235
0.62,0.9798611111111111,0.9788558956042673,0.9875195007800313,0.9678899082568807,0.9796548238188617
0.63,0.9798611111111111,0.9787275019259052,0.9890453834115805,0.9663608562691132,0.9796490335483927
0.6399999999999999,0.9798611111111111,0.9787275019259052,0.9890453834115805,0.9663608562691132,0.9796490335483927
0.6499999999999999,0.9798611111111111,0.9787275019259052,0.9890453834115805,0.9663608562691132,0.9796490335483927
0.6799999999999999,0.9798611111111111,0.9785991082475429,0.9905808477237049,0.9648318042813455,0.9796431605943066
0.69,0.9798611111111111,0.9785991082475429,0.9905808477237049,0.9648318042813455,0.9796431605943066
0.7,0.9798611111111111,0.9784707145691809,0.9921259842519685,0.963302752293578,0.9796372048162691
0.36999999999999994,0.9791666666666666,0.9797604874290917,0.9684684684684685,0.9862385321100917,0.979020979020979
0.37999999999999995,0.9791666666666666,0.9796320937507295,0.9698795180722891,0.9847094801223242,0.9790160468952493
0.38999999999999996,0.9791666666666666,0.9796320937507295,0.9698795180722891,0.9847094801223242,0.9790160468952493
0.4099999999999999,0.9791666666666666,0.9795037000723673,0.9712990936555891,0.9831804281345565,0.979011030869332
0.41999999999999993,0.9791666666666666,0.9793753063940052,0.9727272727272728,0.981651376146789,0.979005930824542
0.42999999999999994,0.9791666666666666,0.9793753063940052,0.9727272727272728,0.981651376146789,0.979005930824542
0.43999999999999995,0.9791666666666666,0.9793753063940052,0.9727272727272728,0.981651376146789,0.979005930824542
0.4799999999999999,0.9791666666666666,0.979246912715643,0.9741641337386018,0.9801223241590215,0.9790007466401195
0.48999999999999994,0.9791666666666666,0.979246912715643,0.9741641337386018,0.9801223241590215,0.9790007466401195
0.49999999999999994,0.9791666666666666,0.979246912715643,0.9741641337386018,0.9801223241590215,0.9790007466401195
0.5099999999999999,0.9791666666666666,0.979246912715643,0.9741641337386018,0.9801223241590215,0.9790007466401195
0.5299999999999999,0.9791666666666666,0.9789901253589187,0.9770642201834863,0.9770642201834863,0.9789901253589187
0.5399999999999999,0.9791666666666666,0.9789901253589187,0.9770642201834863,0.9770642201834863,0.9789901253589187
0.58,0.9791666666666666,0.9786049443238323,0.9814814814814815,0.9724770642201835,0.9789735592507578
0.61,0.9791666666666666,0.9782197632887457,0.985981308411215,0.9678899082568807,0.978956228956229
0.71,0.9791666666666666,0.9777061885752971,0.9921135646687698,0.9617737003058104,0.978931926714317
0.3999999999999999,0.9784722222222222,0.9788675677568457,0.9698340874811463,0.9831804281345565,0.9783140010230895
0.72,0.9784722222222222,0.9769416625814132,0.9921011058451816,0.9602446483180428,0.978226418904385
0.3,0.9777777777777777,0.9790017975114971,0.9600591715976331,0.9923547400611621,0.9776473441668687
0.5199999999999999,0.9777777777777777,0.9777178607278754,0.9740853658536586,0.9770642201834863,0.977595176739437
0.73,0.9777777777777777,0.9761771365875295,0.9920886075949367,0.9587155963302753,0.9775206792189216
0.7499999999999999,0.9770833333333333,0.9752842169152836,0.9936406995230525,0.9556574923547401,0.976807644497111
0.7599999999999999,0.9770833333333333,0.9752842169152836,0.9936406995230525,0.9556574923547401,0.976807644497111
0.26999999999999996,0.9763888888888889,0.977857926558816,0.9558823529411765,0.9938837920489296,0.9762602527972755
0.27999999999999997,0.9763888888888889,0.9777295328804538,0.9572271386430679,0.9923547400611621,0.9762553250925343
0.29,0.9763888888888889,0.9777295328804538,0.9572271386430679,0.9923547400611621,0.9762553250925343
0.74,0.9763888888888889,0.9746480845997618,0.9920634920634921,0.9556574923547401,0.9761084955379102
0.7699999999999999,0.9763888888888889,0.9745196909213998,0.9936305732484076,0.9541284403669725,0.9761011717064427
0.7799999999999999,0.9756944444444444,0.9737551649275159,0.9936204146730463,0.9525993883792049,0.9753944576015747
0.7899999999999999,0.9756944444444444,0.9737551649275159,0.9936204146730463,0.9525993883792049,0.9753944576015747
